train_loss,val_loss,val_f1_macro,learning_rate
0.5073975795552931,0.4570036130097076,0.059044048734770385,1.0366814888039156e-05
0.45562821353664834,0.44075502375610004,0.10705124808405997,2.7778245726383405e-05
0.43096367593939977,0.4023955205014644,0.23793804233652474,5.1615319303214673e-05
0.3955516494412459,0.3806374123078266,0.3160500058391743,7.5554442496189e-05
0.37415833282106703,0.37145583570458507,0.3995938167298792,9.324495005732177e-05
0.357624325133462,0.3621970021542702,0.4076410722491681,9.99938341983967e-05
0.3467115898623721,0.35963515038708693,0.3971328605065098,9.998243752369766e-05
0.3335512989122449,0.3415435950719673,0.4545857903224287,9.992751551552928e-05
0.32024636932911765,0.3532955746614296,0.4423024332366344,9.983525734753417e-05
0.3081208792806582,0.3512895266518338,0.4773805651164199,9.970573201380624e-05
0.3032956074439842,0.34767492923117777,0.5091741868765802,9.95390363782138e-05
0.29044031744239895,0.347222545674739,0.4782942311737894,9.933529510196124e-05
0.28912504358601027,0.3477451689825713,0.5107987185255557,9.909466055036265e-05
0.28552837305851564,0.36290667120736975,0.4472534733779003,9.881731267889745e-05
0.2732490125958246,0.34210568643708267,0.5076522704052207,9.850345889863287e-05
0.2738077386872459,0.3471785638168568,0.4823738983908315,9.81533339211143e-05
0.26664498454059354,0.34692774064668264,0.5044200578564314,9.776719958283934e-05
0.26025695131935234,0.3453343328628831,0.48125023821989393,9.734534464944648e-05
0.2542703784149112,0.34696636855147267,0.4986283214664393,9.688808459976568e-05
0.25166205242844936,0.353487245454133,0.46516086428084796,9.639576138989132e-05
0.25294974457671626,0.3614933472553282,0.44739335562649635,9.586874319745483e-05
0.24861713151895362,0.3597761283394035,0.4692803961718154,9.53074241462877e-05
0.2525757401044132,0.34157263663888887,0.5394750246503055,9.471222401168103e-05
0.24203263177671505,0.3499596230401338,0.4843141248038058,9.40835879064619e-05
0.23828824660705247,0.3565802540032918,0.4591482811288872,9.342198594812143e-05
0.24326713076074616,0.35379774424865956,0.4530840645779088,9.272791290724342e-05
0.23722571544064822,0.3601083553019371,0.5028571419207434,9.200188783749649e-05
0.23020202234273648,0.3631671910522548,0.4408428717988992,9.124445368746638e-05
0.2325091030420238,0.3580933415707741,0.446375418895218,9.045617689461883e-05
0.23807123809597874,0.3568833179146279,0.44569304918447794,8.963764696169652e-05
0.2315108213033385,0.36129367146783203,0.4997136336682915,8.878947601586693e-05
0.2294916192652615,0.35970388637244244,0.4612670149774436,8.79122983509509e-05
0.23010065224561982,0.36601827572320256,0.4595174802376661,8.700676995307409e-05
0.2238954687846526,0.35749523785278087,0.4772824676348872,8.607356801009609e-05
0.2255311761876099,0.36968907804889534,0.4346609118706386,8.51133904051841e-05
